VEHICLE_OCCUPANTS,LICENSED?,NUMBER OF PERSONS INJURED,FATAL?,VEHICLE_AGE,VEHICLE_COMPANY,FORD?,FEMALE?,DAYTIME?
2,1,0,0,12,HOND,0,1,1
1,1,0,0,9,HOND,0,0,1
1,1,0,0,17,FORD,1,0,0
5,1,0,0,10,LEXS,0,1,0
1,1,0,0,6,TOYT,0,0,0
1,1,0,0,1,MERZ,0,0,1
1,1,0,0,18,FORD,1,0,1
1,1,0,0,19,CHEV,0,0,1
1,1,0,0,3,NISS,0,1,1
3,1,0,0,3,HOND,0,0,1
1,1,0,0,3,LEXS,0,0,1
2,1,0,0,5,FORD,1,0,1
1,1,0,0,12,HOND,0,1,1
3,1,0,0,3,LNDR,0,1,1
1,1,0,0,3,INFI,0,0,1
1,1,0,0,7,HOND,0,1,1
2,1,0,0,6,TOYT,0,1,0
1,1,0,0,8,NISS,0,1,1
1,1,0,0,4,NISS,0,0,1
2,1,0,0,5,LINC,0,0,1
1,1,0,0,12,HOND,0,0,0
1,1,0,0,9,HOND,0,0,1
1,1,0,0,6,HOND,0,1,1
1,1,0,0,2,FORD,1,1,1
4,1,0,0,1,NISS,0,1,1
1,1,0,0,10,ACUR,0,0,1
5,0,0,0,12,ACUR,0,0,0
1,1,0,0,10,LINC,0,0,0
3,1,0,0,2,FORD,1,0,1
1,0,0,0,12,NISS,0,0,1
1,1,0,0,10,HUMM,0,0,1
3,1,0,0,9,CHEV,0,1,1
1,1,0,0,5,TOYT,0,0,1
1,1,0,0,8,MITS,0,0,0
1,1,0,0,4,GMC,0,1,1
1,1,0,0,14,FORD,1,0,1
1,1,0,0,1,NISS,0,0,0
3,1,0,0,11,DODG,0,1,0
2,1,0,0,19,NISS,0,1,0
1,1,0,0,7,INTL,0,0,1
1,0,0,0,1,CHEV,0,0,1
1,1,0,0,7,VOLK,0,1,0
5,1,0,0,12,HOND,0,1,1
2,1,0,0,5,TOYT,0,1,1
1,1,0,0,4,BMW,0,1,0
